country,period,counterpart_type,Bilateral,Bilateral data,China,China data,Multilateral,Multilateral data,Private,Private data
Egypt,2024-2025 (projected),Multilateral,,,,,5681688193.25,,,
Egypt,2024-2025 (projected),Private,,,,,,,8281779226.85,
El Salvador,2010-2014,Bilateral,,51990883.9,,,,,,
El Salvador,2010-2014,China,,,,4387400.0,,,,
El Salvador,2010-2014,Multilateral,,,,,,472367318.14,,
El Salvador,2010-2014,Private,,,,,,,,354408418.48
El Salvador,2018-2022,Bilateral,54665492.92,54665492.92,,,,,,
El Salvador,2018-2022,China,,,745000.0,745000.0,,,,
El Salvador,2018-2022,Multilateral,,,,,540147185.88,540147185.88,,
El Salvador,2018-2022,Private,,,,,,,769591524.96,769591524.96
El Salvador,2024-2025 (projected),Bilateral,47991155.05,,,,,,,
El Salvador,2024-2025 (projected),China,,,50500.0,,,,,
El Salvador,2024-2025 (projected),Multilateral,,,,,887835226.7,,,
El Salvador,2024-2025 (projected),Private,,,,,,,686747541.35,
Eritrea,2010-2014,Bilateral,,15259791.06,,,,,,
Eritrea,2010-2014,China,,,,24138410.44,,,,
Eritrea,2010-2014,Multilateral,,,,,,14850583.78,,
Eritrea,2018-2022,Bilateral,8772418.1,8772418.1,,,,,,
Eritrea,2018-2022,China,,,5543396.9,5543396.9,,,,
Eritrea,2018-2022,Multilateral,,,,,5581737.92,5581737.92,,
Eritrea,2024-2025 (projected),Bilateral,10254735.55,,,,,,,
Eritrea,2024-2025 (projected),China,,,2670772.45,,,,,
Eritrea,2024-2025 (projected),Multilateral,,,,,25696495.05,,,
Eswatini,2010-2014,Bilateral,,9856629.64,,,,,,
Eswatini,2010-2014,China,,,,269600.0,,,,
Eswatini,2010-2014,Multilateral,,,,,,29972811.72,,
Eswatini,2010-2014,Private,,,,,,,,3234880.36
Eswatini,2018-2022,Bilateral,18433245.62,18433245.62,,,,,,
Eswatini,2018-2022,China,,,7232000.0,7232000.0,,,,
Eswatini,2018-2022,Multilateral,,,,,27268488.62,27268488.62,,
Eswatini,2018-2022,Private,,,,,,,2296685.98,2296685.98
Eswatini,2024-2025 (projected),Bilateral,10456084.95,,,,,,,
Eswatini,2024-2025 (projected),China,,,22122470.45,,,,,
Eswatini,2024-2025 (projected),Multilateral,,,,,69561195.0,,,
Eswatini,2024-2025 (projected),Private,,,,,,,1093344.1,
Ethiopia,2010-2014,Bilateral,,53924407.48,,,,,,
Ethiopia,2010-2014,China,,,,170095367.76,,,,
Ethiopia,2010-2014,Multilateral,,,,,,74232688.42,,
Ethiopia,2010-2014,Private,,,,,,,,171245993.5
Ethiopia,2018-2022,Bilateral,193620963.26,193620963.26,,,,,,
Ethiopia,2018-2022,China,,,785869224.58,785869224.58,,,,
Ethiopia,2018-2022,Multilateral,,,,,244792620.16,244792620.16,,
Ethiopia,2018-2022,Private,,,,,,,715625252.86,715625252.86
Ethiopia,2024-2025 (projected),Bilateral,2351064575.3,,,,,,,
Ethiopia,2024-2025 (projected),China,,,2090381961.7,,,,,
Ethiopia,2024-2025 (projected),Multilateral,,,,,596621189.65,,,
Ethiopia,2024-2025 (projected),Private,,,,,,,1325192397.05,
Fiji,2010-2014,Bilateral,,5782584.02,,,,,,
Fiji,2010-2014,China,,,,4031845.76,,,,
Fiji,2010-2014,Multilateral,,,,,,10521347.82,,
Fiji,2010-2014,Private,,,,,,,,49875100.0
Fiji,2018-2022,Bilateral,33544232.14,33544232.14,,,,,,
Fiji,2018-2022,China,,,23972318.8,23972318.8,,,,
Fiji,2018-2022,Multilateral,,,,,22368363.88,22368363.88,,
Fiji,2018-2022,Private,,,,,,,46625000.0,46625000.0
Fiji,2024-2025 (projected),Bilateral,11258280.95,,,,,,,
Fiji,2024-2025 (projected),China,,,23933030.5,,,,,
Fiji,2024-2025 (projected),Multilateral,,,,,120382568.55,,,
Gabon,2010-2014,Bilateral,,71780928.72,,,,,,
Gabon,2010-2014,China,,,,21607673.32,,,,
Gabon,2010-2014,Multilateral,,,,,,68034972.78,,
Gabon,2010-2014,Private,,,,,,,,431566968.7
Gabon,2018-2022,Bilateral,30652784.44,30652784.44,,,,,,
Gabon,2018-2022,China,,,114342632.32,114342632.32,,,,
Gabon,2018-2022,Multilateral,,,,,145902186.92,145902186.92,,
Gabon,2018-2022,Private,,,,,,,594092061.06,594092061.06
Gabon,2024-2025 (projected),Bilateral,111418204.2,,,,,,,
Gabon,2024-2025 (projected),China,,,179026361.4,,,,,
Gabon,2024-2025 (projected),Multilateral,,,,,265956384.4,,,
Gabon,2024-2025 (projected),Private,,,,,,,279663568.05,
Gambia,2010-2014,Bilateral,,9833262.7,,,,,,
Gambia,2010-2014,China,,,,2856026.82,,,,
Gambia,2010-2014,Multilateral,,,,,,15239128.34,,
Gambia,2010-2014,Private,,,,,,,,2485694.9
Gambia,2018-2022,Bilateral,8015598.52,8015598.52,,,,,,
Gambia,2018-2022,China,,,370966.26,370966.26,,,,
Gambia,2018-2022,Multilateral,,,,,23457929.54,23457929.54,,
Gambia,2018-2022,Private,,,,,,,5558303.08,5558303.08
Gambia,2024-2025 (projected),Bilateral,32195921.7,,,,,,,
Gambia,2024-2025 (projected),China,,,12412019.15,,,,,
Gambia,2024-2025 (projected),Multilateral,,,,,59807386.4,,,
Gambia,2024-2025 (projected),Private,,,,,,,2000680.9,
Georgia,2010-2014,Bilateral,,48717222.42,,,,,,
Georgia,2010-2014,China,,,,194513.98,,,,
Georgia,2010-2014,Multilateral,,,,,,58997464.52,,
Georgia,2010-2014,Private,,,,,,,,252898621.12
Georgia,2018-2022,Bilateral,87571501.22,87571501.22,,,,,,
Georgia,2018-2022,China,,,446968.58,446968.58,,,,
Georgia,2018-2022,Multilateral,,,,,257301731.66,257301731.66,,
Georgia,2018-2022,Private,,,,,,,371510896.98,371510896.98
Georgia,2024-2025 (projected),Bilateral,171133240.95,,,,,,,
Georgia,2024-2025 (projected),Multilateral,,,,,570576343.25,,,
Georgia,2024-2025 (projected),Private,,,,,,,145557016.7,
Ghana,2010-2014,Bilateral,,87481092.84,,,,,,
Ghana,2010-2014,China,,,,82161329.92,,,,
Ghana,2010-2014,Multilateral,,,,,,59059378.02,,
Ghana,2010-2014,Private,,,,,,,,225603053.24
Ghana,2018-2022,Bilateral,182387356.06,182387356.06,,,,,,
Ghana,2018-2022,China,,,322921419.22,322921419.22,,,,
Ghana,2018-2022,Multilateral,,,,,170444579.08,170444579.08,,
Ghana,2018-2022,Private,,,,,,,1721933237.16,1721933237.16
Ghana,2024-2025 (projected),Bilateral,253150656.75,,,,,,,
Ghana,2024-2025 (projected),China,,,458827465.4,,,,,
Ghana,2024-2025 (projected),Multilateral,,,,,517157800.25,,,
Ghana,2024-2025 (projected),Private,,,,,,,2198018238.4,
Grenada,2010-2014,Bilateral,,4511815.72,,,,,,
Grenada,2010-2014,Multilateral,,,,,,12189342.06,,
Grenada,2010-2014,Private,,,,,,,,4200660.0
Grenada,2018-2022,Bilateral,8492561.92,8492561.92,,,,,,
Grenada,2018-2022,China,,,193081.92,193081.92,,,,
Grenada,2018-2022,Multilateral,,,,,20462897.44,20462897.44,,
Grenada,2018-2022,Private,,,,,,,19058244.48,19058244.48
Grenada,2024-2025 (projected),Bilateral,10518060.1,,,,,,,
Grenada,2024-2025 (projected),China,,,5572974.85,,,,,
Grenada,2024-2025 (projected),Multilateral,,,,,24647654.4,,,
Grenada,2024-2025 (projected),Private,,,,,,,15469091.1,
Guatemala,2010-2014,Bilateral,,26944980.0,,,,,,
Guatemala,2010-2014,China,,,,7336000.0,,,,
Guatemala,2010-2014,Multilateral,,,,,,452257122.22,,
Guatemala,2010-2014,Private,,,,,,,,202674894.86
Guatemala,2018-2022,Bilateral,65437661.24,65437661.24,,,,,,
Guatemala,2018-2022,China,,,2536000.0,2536000.0,,,,
Guatemala,2018-2022,Multilateral,,,,,542052258.54,542052258.54,,
Guatemala,2018-2022,Private,,,,,,,362901033.16,362901033.16
Guatemala,2024-2025 (projected),Bilateral,30420527.8,,,,,,,
Guatemala,2024-2025 (projected),China,,,2630444.4,,,,,
Guatemala,2024-2025 (projected),Multilateral,,,,,684301130.7,,,
Guatemala,2024-2025 (projected),Private,,,,,,,386615447.1,
Guinea,2010-2014,Bilateral,,13854992.82,,,,,,
Guinea,2010-2014,China,,,,2285824.34,,,,
Guinea,2010-2014,Multilateral,,,,,,67197851.72,,
Guinea,2018-2022,Bilateral,35790980.46,35790980.46,,,,,,
Guinea,2018-2022,China,,,32311027.02,32311027.02,,,,
Guinea,2018-2022,Multilateral,,,,,42421847.88,42421847.88,,
Guinea,2024-2025 (projected),Bilateral,83178410.2,,,,,,,
Guinea,2024-2025 (projected),China,,,368823656.5,,,,,
Guinea,2024-2025 (projected),Multilateral,,,,,157380587.75,,,
Guinea,2024-2025 (projected),Private,,,,,,,8929432.0,
Guinea-Bissau,2010-2014,Bilateral,,710392.74,,,,,,
Guinea-Bissau,2010-2014,Multilateral,,,,,,4839137.5,,
Guinea-Bissau,2010-2014,Private,,,,,,,,123800.0
Guinea-Bissau,2018-2022,Bilateral,2182851.96,2182851.96,,,,,,
Guinea-Bissau,2018-2022,Multilateral,,,,,21819772.14,21819772.14,,
Guinea-Bissau,2018-2022,Private,,,,,,,11092600.0,11092600.0
Guinea-Bissau,2024-2025 (projected),Bilateral,10782928.75,,,,,,,
Guinea-Bissau,2024-2025 (projected),Multilateral,,,,,41934320.15,,,
Guinea-Bissau,2024-2025 (projected),Private,,,,,,,22342000.0,
Guyana,2010-2014,Bilateral,,28363871.6,,,,,,
Guyana,2010-2014,China,,,,4772707.74,,,,
Guyana,2010-2014,Multilateral,,,,,,20388327.54,,
Guyana,2010-2014,Private,,,,,,,,2400.0
Guyana,2018-2022,Bilateral,12786504.98,12786504.98,,,,,,
Guyana,2018-2022,China,,,19495098.42,19495098.42,,,,
Guyana,2018-2022,Multilateral,,,,,44654666.8,44654666.8,,
Guyana,2018-2022,Private,,,,,,,1799800.0,1799800.0
Guyana,2024-2025 (projected),Bilateral,33596785.1,,,,,,,
Guyana,2024-2025 (projected),China,,,37856148.4,,,,,
Guyana,2024-2025 (projected),Multilateral,,,,,98182593.1,,,
Guyana,2024-2025 (projected),Private,,,,,,,2118777.8,
Haiti,2010-2014,Bilateral,,22704273.38,,,,,,
Haiti,2010-2014,Multilateral,,,,,,10834322.78,,
Haiti,2010-2014,Private,,,,,,,,1995800.0
Haiti,2018-2022,Bilateral,6692200.0,6692200.0,,,,,,
Haiti,2018-2022,Multilateral,,,,,4819534.66,4819534.66,,
Haiti,2018-2022,Private,,,,,,,2968600.0,2968600.0
Haiti,2024-2025 (projected),Bilateral,155436372.6,,,,,,,
Haiti,2024-2025 (projected),Multilateral,,,,,9270685.95,,,
Haiti,2024-2025 (projected),Private,,,,,,,4293000.0,
Honduras,2010-2014,Bilateral,,27455455.28,,,,,,
Honduras,2010-2014,China,,,,4808600.0,,,,
Honduras,2010-2014,Multilateral,,,,,,107743884.4,,
Honduras,2010-2014,Private,,,,,,,,29648110.18
Honduras,2018-2022,Bilateral,53101136.68,53101136.68,,,,,,
Honduras,2018-2022,China,,,37987600.0,37987600.0,,,,
Honduras,2018-2022,Multilateral,,,,,316810171.3,316810171.3,,
Honduras,2018-2022,Private,,,,,,,286710190.54,286710190.54
Honduras,2024-2025 (projected),Bilateral,91866666.7,,,,,,,
Honduras,2024-2025 (projected),China,,,75558700.0,,,,,
Honduras,2024-2025 (projected),Multilateral,,,,,745858975.85,,,
Honduras,2024-2025 (projected),Private,,,,,,,132986058.1,
India,2010-2014,Bilateral,,2091977233.2,,,,,,
India,2010-2014,China,,,,52406596.6,,,,
India,2010-2014,Multilateral,,,,,,2499076875.16,,
India,2010-2014,Private,,,,,,,,4599678062.34
India,2018-2022,Bilateral,2299390036.44,2299390036.44,,,,,,
India,2018-2022,Multilateral,,,,,5082183171.46,5082183171.46,,
India,2018-2022,Private,,,,,,,12610014949.3,12610014949.3
India,2024-2025 (projected),Bilateral,3241925588.8,,,,,,,
India,2024-2025 (projected),Multilateral,,,,,10497462023.05,,,
India,2024-2025 (projected),Private,,,,,,,18997899548.4,
Indonesia,2010-2014,Bilateral,,4181309190.04,,,,,,
Indonesia,2010-2014,China,,,,73724073.12,,,,
Indonesia,2010-2014,Multilateral,,,,,,2200759464.72,,
Indonesia,2010-2014,Private,,,,,,,,7645461457.58
Indonesia,2018-2022,Bilateral,2881765131.52,2881765131.52,,,,,,
Indonesia,2018-2022,China,,,222844440.9,222844440.9,,,,
Indonesia,2018-2022,Multilateral,,,,,2981339497.42,2981339497.42,,
Indonesia,2018-2022,Private,,,,,,,21437961195.76,21437961195.76
Indonesia,2024-2025 (projected),Bilateral,2065991109.6,,,,,,,
Indonesia,2024-2025 (projected),China,,,259941154.9,,,,,
Indonesia,2024-2025 (projected),Multilateral,,,,,5379777717.8,,,
Indonesia,2024-2025 (projected),Private,,,,,,,24970005005.65,
Iran,2010-2014,Bilateral,,152608824.28,,,,,,
Iran,2010-2014,China,,,,105672000.0,,,,
Iran,2010-2014,Multilateral,,,,,,88753929.94,,
Iran,2010-2014,Private,,,,,,,,570202771.82
Iran,2018-2022,Bilateral,21831394.72,21831394.72,,,,,,
Iran,2018-2022,China,,,5096400.0,5096400.0,,,,
Iran,2018-2022,Multilateral,,,,,65892364.5,65892364.5,,
Iran,2018-2022,Private,,,,,,,10754205.76,10754205.76
Iran,2024-2025 (projected),Bilateral,21323585.6,,,,,,,
Iran,2024-2025 (projected),Multilateral,,,,,21902197.2,,,
Iran,2024-2025 (projected),Private,,,,,,,10772384.9,
Iraq,2018-2022,Bilateral,1595935367.7,1595935367.7,,,,,,
Iraq,2018-2022,China,,,168466800.0,168466800.0,,,,
Iraq,2018-2022,Multilateral,,,,,213111003.1,213111003.1,,
Iraq,2018-2022,Private,,,,,,,791454176.48,791454176.48
Iraq,2024-2025 (projected),Bilateral,1469394284.45,,,,,,,
Iraq,2024-2025 (projected),China,,,155670250.0,,,,,
Iraq,2024-2025 (projected),Multilateral,,,,,642244310.4,,,
Iraq,2024-2025 (projected),Private,,,,,,,781463142.25,
Jamaica,2010-2014,Bilateral,,84874142.1,,,,,,
Jamaica,2010-2014,China,,,,18599391.88,,,,
Jamaica,2010-2014,Multilateral,,,,,,197509979.08,,
Jamaica,2010-2014,Private,,,,,,,,666371764.42
Jamaica,2018-2022,Bilateral,28600590.06,28600590.06,,,,,,
Jamaica,2018-2022,China,,,86968996.74,86968996.74,,,,
Jamaica,2018-2022,Multilateral,,,,,268266732.1,268266732.1,,
Jamaica,2018-2022,Private,,,,,,,858163284.1,858163284.1
Jamaica,2024-2025 (projected),Bilateral,3621751.15,,,,,,,
Jamaica,2024-2025 (projected),China,,,122168262.85,,,,,
Jamaica,2024-2025 (projected),Multilateral,,,,,371407535.7,,,
Jamaica,2024-2025 (projected),Private,,,,,,,555214965.0,
Jordan,2010-2014,Bilateral,,248875503.86,,,,,,
Jordan,2010-2014,China,,,,430597.08,,,,
Jordan,2010-2014,Multilateral,,,,,,455860964.4,,
Jordan,2010-2014,Private,,,,,,,,81791281.18
Jordan,2018-2022,Bilateral,278711128.06,278711128.06,,,,,,
Jordan,2018-2022,China,,,2352606.06,2352606.06,,,,
Jordan,2018-2022,Multilateral,,,,,478594543.06,478594543.06,,
Jordan,2018-2022,Private,,,,,,,1593791999.7,1593791999.7
Jordan,2024-2025 (projected),Bilateral,354672424.0,,,,,,,
Jordan,2024-2025 (projected),China,,,4953055.4,,,,,
Jordan,2024-2025 (projected),Multilateral,,,,,755997923.6,,,
Jordan,2024-2025 (projected),Private,,,,,,,1472080083.45,
Kazakhstan,2010-2014,Bilateral,,109064889.3,,,,,,
Kazakhstan,2010-2014,Multilateral,,,,,,261497581.02,,
Kazakhstan,2010-2014,Private,,,,,,,,90151400.0
Kazakhstan,2018-2022,Bilateral,54296016.26,54296016.26,,,,,,
Kazakhstan,2018-2022,China,,,123707745.24,123707745.24,,,,
Kazakhstan,2018-2022,Multilateral,,,,,831654874.66,831654874.66,,
Kazakhstan,2018-2022,Private,,,,,,,1107938060.52,1107938060.52
Kazakhstan,2024-2025 (projected),Bilateral,29464332.95,,,,,,,
Kazakhstan,2024-2025 (projected),China,,,218814865.15,,,,,
Kazakhstan,2024-2025 (projected),Multilateral,,,,,1235431890.25,,,
Kazakhstan,2024-2025 (projected),Private,,,,,,,2648305070.4,
Kenya,2010-2014,Bilateral,,205350279.36,,,,,,
Kenya,2010-2014,China,,,,31280763.18,,,,
Kenya,2010-2014,Multilateral,,,,,,173348342.2,,
Kenya,2010-2014,Private,,,,,,,,168817167.16
Kenya,2018-2022,Bilateral,227973537.7,227973537.7,,,,,,
Kenya,2018-2022,China,,,598825758.18,598825758.18,,,,
Kenya,2018-2022,Multilateral,,,,,908114584.3,908114584.3,,
Kenya,2018-2022,Private,,,,,,,1024006489.4,1024006489.4
Kenya,2024-2025 (projected),Bilateral,340783179.85,,,,,,,
Kenya,2024-2025 (projected),China,,,1189313694.05,,,,,
Kenya,2024-2025 (projected),Multilateral,,,,,1750197582.7,,,
Kenya,2024-2025 (projected),Private,,,,,,,1766962470.65,
Kosovo,2010-2014,Bilateral,,238358.48,,,,,,
Kosovo,2010-2014,Multilateral,,,,,,26564000.0,,
Kosovo,2010-2014,Private,,,,,,,,19669.46
Kosovo,2018-2022,Bilateral,9698145.54,9698145.54,,,,,,
Kosovo,2018-2022,Multilateral,,,,,29175435.44,29175435.44,,
Kosovo,2018-2022,Private,,,,,,,456834.52,456834.52
Kosovo,2024-2025 (projected),Bilateral,4406745.2,,,,,,,
Kosovo,2024-2025 (projected),Multilateral,,,,,85149367.7,,,
Kosovo,2024-2025 (projected),Private,,,,,,,3723596.1,
Kyrgyz Republic,2010-2014,Bilateral,,16405717.06,,,,,,
Kyrgyz Republic,2010-2014,China,,,,10146954.7,,,,
Kyrgyz Republic,2010-2014,Multilateral,,,,,,52809091.08,,
Kyrgyz Republic,2018-2022,Bilateral,23268473.0,23268473.0,,,,,,
Kyrgyz Republic,2018-2022,China,,,69585819.12,69585819.12,,,,
Kyrgyz Republic,2018-2022,Multilateral,,,,,89988037.68,89988037.68,,
Kyrgyz Republic,2024-2025 (projected),Bilateral,36883364.2,,,,,,,
Kyrgyz Republic,2024-2025 (projected),China,,,168010825.1,,,,,
Kyrgyz Republic,2024-2025 (projected),Multilateral,,,,,169814362.1,,,
Laos,2010-2014,Bilateral,,35299790.58,,,,,,
Laos,2010-2014,China,,,,37855487.06,,,,
Laos,2010-2014,Multilateral,,,,,,87086269.26,,
Laos,2010-2014,Private,,,,,,,,1228100.96
Laos,2018-2022,Bilateral,124669234.98,124669234.98,,,,,,
Laos,2018-2022,China,,,121415186.6,121415186.6,,,,
Laos,2018-2022,Multilateral,,,,,104254744.44,104254744.44,,
Laos,2018-2022,Private,,,,,,,300961348.4,300961348.4
Laos,2024-2025 (projected),Bilateral,276620919.95,,,,,,,
Laos,2024-2025 (projected),China,,,1211569792.05,,,,,
Laos,2024-2025 (projected),Multilateral,,,,,153197291.65,,,
Laos,2024-2025 (projected),Private,,,,,,,391302913.2,
Lebanon,2010-2014,Bilateral,,179479290.5,,,,,,
Lebanon,2010-2014,Multilateral,,,,,,239563897.5,,
Lebanon,2010-2014,Private,,,,,,,,3632328124.44
Lebanon,2018-2022,Bilateral,100031697.5,100031697.5,,,,,,
Lebanon,2018-2022,Multilateral,,,,,138784327.74,138784327.74,,
Lebanon,2018-2022,Private,,,,,,,1870036808.0,1870036808.0
Lebanon,2024-2025 (projected),Bilateral,95334985.8,,,,,,,
Lebanon,2024-2025 (projected),Multilateral,,,,,352029382.75,,,
Lebanon,2024-2025 (projected),Private,,,,,,,3028041892.85,
Lesotho,2010-2014,Bilateral,,3668283.42,,,,,,
Lesotho,2010-2014,China,,,,1481679.62,,,,
Lesotho,2010-2014,Multilateral,,,,,,27931626.76,,
Lesotho,2010-2014,Private,,,,,,,,2061310.28
Lesotho,2018-2022,Bilateral,6217316.16,6217316.16,,,,,,
Lesotho,2018-2022,China,,,5675576.76,5675576.76,,,,
Lesotho,2018-2022,Multilateral,,,,,46858556.22,46858556.22,,
Lesotho,2018-2022,Private,,,,,,,395931.94,395931.94
Lesotho,2024-2025 (projected),Bilateral,11963326.45,,,,,,,
Lesotho,2024-2025 (projected),China,,,17542896.75,,,,,
Lesotho,2024-2025 (projected),Multilateral,,,,,61360034.05,,,
Lesotho,2024-2025 (projected),Private,,,,,,,406971.5,
Liberia,2010-2014,Bilateral,,1141606.46,,,,,,
Liberia,2010-2014,China,,,,56600.0,,,,
Liberia,2010-2014,Multilateral,,,,,,5254034.32,,
Liberia,2018-2022,Bilateral,3530786.64,3530786.64,,,,,,
Liberia,2018-2022,China,,,1126393.94,1126393.94,,,,
Liberia,2018-2022,Multilateral,,,,,15379440.74,15379440.74,,
Liberia,2024-2025 (projected),Bilateral,4191458.2,,,,,,,
Liberia,2024-2025 (projected),China,,,3984832.25,,,,,
Liberia,2024-2025 (projected),Multilateral,,,,,40148267.4,,,
Madagascar,2010-2014,Bilateral,,23080320.38,,,,,,
Madagascar,2010-2014,China,,,,2108560.06,,,,
Madagascar,2010-2014,Multilateral,,,,,,32197141.48,,
Madagascar,2010-2014,Private,,,,,,,,31626.46
Madagascar,2018-2022,Bilateral,20058148.5,20058148.5,,,,,,
Madagascar,2018-2022,China,,,7096765.9,7096765.9,,,,
Madagascar,2018-2022,Multilateral,,,,,68699216.64,68699216.64,,
Madagascar,2018-2022,Private,,,,,,,17467450.62,17467450.62
Madagascar,2024-2025 (projected),Bilateral,32603606.25,,,,,,,
Madagascar,2024-2025 (projected),China,,,20558906.4,,,,,
Madagascar,2024-2025 (projected),Multilateral,,,,,195694610.4,,,
Madagascar,2024-2025 (projected),Private,,,,,,,40549071.7,
Malawi,2010-2014,Bilateral,,6653818.44,,,,,,
Malawi,2010-2014,China,,,,2413168.42,,,,
Malawi,2010-2014,Multilateral,,,,,,18754825.76,,
Malawi,2010-2014,Private,,,,,,,,674514.94
Malawi,2018-2022,Bilateral,18320625.82,18320625.82,,,,,,
Malawi,2018-2022,China,,,18005766.98,18005766.98,,,,
Malawi,2018-2022,Multilateral,,,,,41418514.82,41418514.82,,
Malawi,2024-2025 (projected),Bilateral,20679508.0,,,,,,,
Malawi,2024-2025 (projected),China,,,21405653.75,,,,,
Malawi,2024-2025 (projected),Multilateral,,,,,108823400.55,,,
Maldives,2010-2014,Bilateral,,46679198.36,,,,,,
Maldives,2010-2014,China,,,,1443924.28,,,,
Maldives,2010-2014,Multilateral,,,,,,18894574.02,,
Maldives,2010-2014,Private,,,,,,,,22027622.54
Maldives,2018-2022,Bilateral,156928194.8,156928194.8,,,,,,
Maldives,2018-2022,China,,,77257331.94,77257331.94,,,,
Maldives,2018-2022,Multilateral,,,,,131195602.18,131195602.18,,
Maldives,2018-2022,Private,,,,,,,116534458.38,116534458.38
Maldives,2024-2025 (projected),Bilateral,120955962.55,,,,,,,
Maldives,2024-2025 (projected),China,,,191402253.6,,,,,
Maldives,2024-2025 (projected),Multilateral,,,,,123103804.0,,,
Maldives,2024-2025 (projected),Private,,,,,,,171712738.45,
Mali,2010-2014,Bilateral,,19550352.3,,,,,,
Mali,2010-2014,China,,,,7286133.48,,,,
Mali,2010-2014,Multilateral,,,,,,51991139.24,,
Mali,2010-2014,Private,,,,,,,,1213513.46
Mali,2018-2022,Bilateral,49172567.0,49172567.0,,,,,,
Mali,2018-2022,China,,,40456653.84,40456653.84,,,,
Mali,2018-2022,Multilateral,,,,,140486602.88,140486602.88,,
Mali,2018-2022,Private,,,,,,,44010.06,44010.06
Mali,2024-2025 (projected),Bilateral,126625162.7,,,,,,,
Mali,2024-2025 (projected),China,,,77591841.2,,,,,
Mali,2024-2025 (projected),Multilateral,,,,,255494202.55,,,
Mauritania,2010-2014,Bilateral,,34681519.16,,,,,,
Mauritania,2010-2014,China,,,,6901798.1,,,,
Mauritania,2010-2014,Multilateral,,,,,,113769925.96,,
Mauritania,2010-2014,Private,,,,,,,,2595023.36
Mauritania,2018-2022,Bilateral,91777879.92,91777879.92,,,,,,
Mauritania,2018-2022,China,,,23287899.96,23287899.96,,,,
Mauritania,2018-2022,Multilateral,,,,,226002786.8,226002786.8,,
Mauritania,2024-2025 (projected),Bilateral,143547617.1,,,,,,,
Mauritania,2024-2025 (projected),China,,,75203985.15,,,,,
Mauritania,2024-2025 (projected),Multilateral,,,,,283907705.0,,,
Mauritius,2010-2014,Bilateral,,31229742.0,,,,,,
Mauritius,2010-2014,China,,,,10466470.02,,,,
Mauritius,2010-2014,Multilateral,,,,,,36872747.78,,
Mauritius,2010-2014,Private,,,,,,,,18968719.38
Mauritius,2018-2022,Bilateral,53278634.74,53278634.74,,,,,,
Mauritius,2018-2022,China,,,47842438.12,47842438.12,,,,
Mauritius,2018-2022,Multilateral,,,,,104187038.9,104187038.9,,
Mauritius,2018-2022,Private,,,,,,,15092220.58,15092220.58
Mauritius,2024-2025 (projected),Bilateral,99926321.85,,,,,,,
Mauritius,2024-2025 (projected),China,,,35027501.55,,,,,
Mauritius,2024-2025 (projected),Multilateral,,,,,115687062.45,,,
Mauritius,2024-2025 (projected),Private,,,,,,,659144711.8,
Mexico,2010-2014,Bilateral,,592841114.28,,,,,,
Mexico,2010-2014,Multilateral,,,,,,1537991301.84,,
Mexico,2010-2014,Private,,,,,,,,21561564342.94
Mexico,2018-2022,Bilateral,494810054.64,494810054.64,,,,,,
Mexico,2018-2022,Multilateral,,,,,2300901400.0,2300901400.0,,
Mexico,2018-2022,Private,,,,,,,35553659912.16,35553659912.16
Mexico,2024-2025 (projected),Bilateral,309607379.65,,,,,,,
Mexico,2024-2025 (projected),Multilateral,,,,,5116707023.45,,,
Mexico,2024-2025 (projected),Private,,,,,,,27371065933.1,
Moldova,2010-2014,Bilateral,,31654909.72,,,,,,
Moldova,2010-2014,China,,,,6955400.0,,,,
Moldova,2010-2014,Multilateral,,,,,,38512899.08,,
Moldova,2010-2014,Private,,,,,,,,6692755.3
Moldova,2018-2022,Bilateral,50910139.96,50910139.96,,,,,,
Moldova,2018-2022,Multilateral,,,,,81944953.0,81944953.0,,
Moldova,2018-2022,Private,,,,,,,1793401.0,1793401.0
Moldova,2024-2025 (projected),Bilateral,13455531.2,,,,,,,
Moldova,2024-2025 (projected),Multilateral,,,,,295840005.75,,,
Moldova,2024-2025 (projected),Private,,,,,,,2139255.6,
Mongolia,2010-2014,Bilateral,,40712915.74,,,,,,
Mongolia,2010-2014,China,,,,5247200.0,,,,
Mongolia,2010-2014,Multilateral,,,,,,37013753.46,,
Mongolia,2010-2014,Private,,,,,,,,37018060.62
Mongolia,2018-2022,Bilateral,59589692.7,59589692.7,,,,,,
Mongolia,2018-2022,China,,,43992829.16,43992829.16,,,,
Mongolia,2018-2022,Multilateral,,,,,119786175.96,119786175.96,,
Mongolia,2018-2022,Private,,,,,,,966648531.26,966648531.26
Mongolia,2024-2025 (projected),Bilateral,214126679.6,,,,,,,
Mongolia,2024-2025 (projected),China,,,184453503.6,,,,,
Mongolia,2024-2025 (projected),Multilateral,,,,,356924365.75,,,
Mongolia,2024-2025 (projected),Private,,,,,,,129376061.2,
Montenegro,2010-2014,Bilateral,,34610081.06,,,,,,
Montenegro,2010-2014,China,,,,1008251.36,,,,
Montenegro,2010-2014,Multilateral,,,,,,49592909.16,,
Montenegro,2010-2014,Private,,,,,,,,148103176.76
Montenegro,2018-2022,Bilateral,40021450.76,40021450.76,,,,,,
Montenegro,2018-2022,China,,,40521200.0,40521200.0,,,,
Montenegro,2018-2022,Multilateral,,,,,72361476.3,72361476.3,,
Montenegro,2018-2022,Private,,,,,,,412551389.02,412551389.02
Montenegro,2024-2025 (projected),Bilateral,31289261.75,,,,,,,
