period,country,counterpart_type,prices,value
2018-2022,El Salvador,Multilateral,current,540147185.88
2018-2022,El Salvador,Private,current,769591524.96
2018-2022,Eritrea,Bilateral,current,8772418.1
2018-2022,Eritrea,China,current,5543396.9
2018-2022,Eritrea,Multilateral,current,5581737.92
2018-2022,Eswatini,Bilateral,current,18433245.62
2018-2022,Eswatini,China,current,7232000.0
2018-2022,Eswatini,Multilateral,current,27268488.62
2018-2022,Eswatini,Private,current,2296685.98
2018-2022,Ethiopia,Bilateral,current,193620963.26
2018-2022,Ethiopia,China,current,785869224.58
2018-2022,Ethiopia,Multilateral,current,244792620.16
2018-2022,Ethiopia,Private,current,715625252.86
2018-2022,Fiji,Bilateral,current,33544232.14
2018-2022,Fiji,China,current,23972318.8
2018-2022,Fiji,Multilateral,current,22368363.88
2018-2022,Fiji,Private,current,46625000.0
2018-2022,Gabon,Bilateral,current,30652784.44
2018-2022,Gabon,China,current,114342632.32
2018-2022,Gabon,Multilateral,current,145902186.92
2018-2022,Gabon,Private,current,594092061.06
2018-2022,Gambia,Bilateral,current,8015598.52
2018-2022,Gambia,China,current,370966.26
2018-2022,Gambia,Multilateral,current,23457929.54
2018-2022,Gambia,Private,current,5558303.08
2018-2022,Georgia,Bilateral,current,87571501.22
2018-2022,Georgia,China,current,446968.58
2018-2022,Georgia,Multilateral,current,257301731.66
2018-2022,Georgia,Private,current,371510896.98
2018-2022,Ghana,Bilateral,current,182387356.06
2018-2022,Ghana,China,current,322921419.22
2018-2022,Ghana,Multilateral,current,170444579.08
2018-2022,Ghana,Private,current,1721933237.16
2018-2022,Grenada,Bilateral,current,8492561.92
2018-2022,Grenada,China,current,193081.92
2018-2022,Grenada,Multilateral,current,20462897.44
2018-2022,Grenada,Private,current,19058244.48
2018-2022,Guatemala,Bilateral,current,65437661.24
2018-2022,Guatemala,China,current,2536000.0
2018-2022,Guatemala,Multilateral,current,542052258.54
2018-2022,Guatemala,Private,current,362901033.16
2018-2022,Guinea,Bilateral,current,35790980.46
2018-2022,Guinea,China,current,32311027.02
2018-2022,Guinea,Multilateral,current,42421847.88
2018-2022,Guinea-Bissau,Bilateral,current,2182851.96
2018-2022,Guinea-Bissau,Multilateral,current,21819772.14
2018-2022,Guinea-Bissau,Private,current,11092600.0
2018-2022,Guyana,Bilateral,current,12786504.98
2018-2022,Guyana,China,current,19495098.42
2018-2022,Guyana,Multilateral,current,44654666.8
2018-2022,Guyana,Private,current,1799800.0
2018-2022,Haiti,Bilateral,current,6692200.0
2018-2022,Haiti,Multilateral,current,4819534.66
2018-2022,Haiti,Private,current,2968600.0
2018-2022,Honduras,Bilateral,current,53101136.68
2018-2022,Honduras,China,current,37987600.0
2018-2022,Honduras,Multilateral,current,316810171.3
2018-2022,Honduras,Private,current,286710190.54
2018-2022,India,Bilateral,current,2299390036.44
2018-2022,India,Multilateral,current,5082183171.46
2018-2022,India,Private,current,12610014949.3
2018-2022,Indonesia,Bilateral,current,2881765131.52
2018-2022,Indonesia,China,current,222844440.9
2018-2022,Indonesia,Multilateral,current,2981339497.42
2018-2022,Indonesia,Private,current,21437961195.76
2018-2022,Iran,Bilateral,current,21831394.72
2018-2022,Iran,China,current,5096400.0
2018-2022,Iran,Multilateral,current,65892364.5
2018-2022,Iran,Private,current,10754205.76
2018-2022,Iraq,Bilateral,current,1595935367.7
2018-2022,Iraq,China,current,168466800.0
2018-2022,Iraq,Multilateral,current,213111003.1
2018-2022,Iraq,Private,current,791454176.48
2018-2022,Jamaica,Bilateral,current,28600590.06
2018-2022,Jamaica,China,current,86968996.74
2018-2022,Jamaica,Multilateral,current,268266732.1
2018-2022,Jamaica,Private,current,858163284.1
2018-2022,Jordan,Bilateral,current,278711128.06
2018-2022,Jordan,China,current,2352606.06
2018-2022,Jordan,Multilateral,current,478594543.06
2018-2022,Jordan,Private,current,1593791999.7
2018-2022,Kazakhstan,Bilateral,current,54296016.26
2018-2022,Kazakhstan,China,current,123707745.24
2018-2022,Kazakhstan,Multilateral,current,831654874.66
2018-2022,Kazakhstan,Private,current,1107938060.52
2018-2022,Kenya,Bilateral,current,227973537.7
2018-2022,Kenya,China,current,598825758.18
2018-2022,Kenya,Multilateral,current,908114584.3
2018-2022,Kenya,Private,current,1024006489.4
2018-2022,Kosovo,Bilateral,current,9698145.54
2018-2022,Kosovo,Multilateral,current,29175435.44
2018-2022,Kosovo,Private,current,456834.52
2018-2022,Kyrgyz Republic,Bilateral,current,23268473.0
2018-2022,Kyrgyz Republic,China,current,69585819.12
2018-2022,Kyrgyz Republic,Multilateral,current,89988037.68
2018-2022,Laos,Bilateral,current,124669234.98
2018-2022,Laos,China,current,121415186.6
2018-2022,Laos,Multilateral,current,104254744.44
2018-2022,Laos,Private,current,300961348.4
2018-2022,Lebanon,Bilateral,current,100031697.5
2018-2022,Lebanon,Multilateral,current,138784327.74
2018-2022,Lebanon,Private,current,1870036808.0
2018-2022,Lesotho,Bilateral,current,6217316.16
2018-2022,Lesotho,China,current,5675576.76
2018-2022,Lesotho,Multilateral,current,46858556.22
2018-2022,Lesotho,Private,current,395931.94
2018-2022,Liberia,Bilateral,current,3530786.64
2018-2022,Liberia,China,current,1126393.94
2018-2022,Liberia,Multilateral,current,15379440.74
2018-2022,Low income,Bilateral,current,582418136.42
2018-2022,Low income,China,current,1414222315.76
2018-2022,Low income,Multilateral,current,2205900456.8
2018-2022,Low income,Private,current,1315793175.94
2018-2022,Lower middle income,Bilateral,current,14672096581.48
2018-2022,Lower middle income,China,current,11476892128.14
2018-2022,Lower middle income,Multilateral,current,23862761545.36
2018-2022,Lower middle income,Private,current,47826446369.0
2018-2022,Madagascar,Bilateral,current,20058148.5
2018-2022,Madagascar,China,current,7096765.9
2018-2022,Madagascar,Multilateral,current,68699216.64
2018-2022,Madagascar,Private,current,17467450.62
2018-2022,Malawi,Bilateral,current,18320625.82
2018-2022,Malawi,China,current,18005766.98
2018-2022,Malawi,Multilateral,current,41418514.82
2018-2022,Maldives,Bilateral,current,156928194.8
2018-2022,Maldives,China,current,77257331.94
2018-2022,Maldives,Multilateral,current,131195602.18
2018-2022,Maldives,Private,current,116534458.38
2018-2022,Mali,Bilateral,current,49172567.0
2018-2022,Mali,China,current,40456653.84
2018-2022,Mali,Multilateral,current,140486602.88
2018-2022,Mali,Private,current,44010.06
2018-2022,Mauritania,Bilateral,current,91777879.92
2018-2022,Mauritania,China,current,23287899.96
2018-2022,Mauritania,Multilateral,current,226002786.8
2018-2022,Mauritius,Bilateral,current,53278634.74
2018-2022,Mauritius,China,current,47842438.12
2018-2022,Mauritius,Multilateral,current,104187038.9
2018-2022,Mauritius,Private,current,15092220.58
2018-2022,Mexico,Bilateral,current,494810054.64
2018-2022,Mexico,Multilateral,current,2300901400.0
2018-2022,Mexico,Private,current,35553659912.16
2018-2022,Moldova,Bilateral,current,50910139.96
2018-2022,Moldova,Multilateral,current,81944953.0
2018-2022,Moldova,Private,current,1793401.0
2018-2022,Mongolia,Bilateral,current,59589692.7
2018-2022,Mongolia,China,current,43992829.16
2018-2022,Mongolia,Multilateral,current,119786175.96
2018-2022,Mongolia,Private,current,966648531.26
2018-2022,Montenegro,Bilateral,current,40021450.76
2018-2022,Montenegro,China,current,40521200.0
2018-2022,Montenegro,Multilateral,current,72361476.3
2018-2022,Montenegro,Private,current,412551389.02
2018-2022,Morocco,Bilateral,current,934218843.44
2018-2022,Morocco,China,current,65367025.22
2018-2022,Morocco,Multilateral,current,1500464577.76
2018-2022,Morocco,Private,current,1453101327.12
2018-2022,Mozambique,Bilateral,current,62507293.62
2018-2022,Mozambique,China,current,161261504.58
2018-2022,Mozambique,Multilateral,current,119182891.36
2018-2022,Mozambique,Private,current,220827272.62
2018-2022,Myanmar,Bilateral,current,162225873.52
2018-2022,Myanmar,China,current,460266815.62
2018-2022,Myanmar,Multilateral,current,74995135.8
2018-2022,Myanmar,Private,current,32113323.52
2018-2022,Nepal,Bilateral,current,34633225.8
2018-2022,Nepal,China,current,4334493.16
2018-2022,Nepal,Multilateral,current,221846694.6
2018-2022,Nepal,Private,current,23839.8
2018-2022,Nicaragua,Bilateral,current,47058112.64
2018-2022,Nicaragua,Multilateral,current,284118028.42
2018-2022,Nicaragua,Private,current,2559221.18
2018-2022,Niger,Bilateral,current,14847452.28
2018-2022,Niger,China,current,37897844.88
2018-2022,Niger,Multilateral,current,115597543.74
2018-2022,Niger,Private,current,6843017.0
2018-2022,Nigeria,Bilateral,current,60384455.32
2018-2022,Nigeria,China,current,200125544.72
2018-2022,Nigeria,Multilateral,current,447309713.02
2018-2022,Nigeria,Private,current,1282721725.48
2018-2022,North Macedonia,Bilateral,current,20442715.54
2018-2022,North Macedonia,China,current,35928600.0
2018-2022,North Macedonia,Multilateral,current,166403675.62
2018-2022,North Macedonia,Private,current,354599147.58
2018-2022,Pakistan,Bilateral,current,1165535691.6
2018-2022,Pakistan,China,current,2650111604.54
2018-2022,Pakistan,Multilateral,current,2341084387.02
2018-2022,Pakistan,Private,current,2958312252.22
2018-2022,Papua New Guinea,Bilateral,current,85255908.04
2018-2022,Papua New Guinea,China,current,44663291.52
2018-2022,Papua New Guinea,Multilateral,current,119127285.02
2018-2022,Papua New Guinea,Private,current,273767347.34
2018-2022,Paraguay,Bilateral,current,42128697.8
2018-2022,Paraguay,Multilateral,current,283374932.72
2018-2022,Paraguay,Private,current,371056000.0
2018-2022,Peru,Bilateral,current,134671979.82
2018-2022,Peru,Multilateral,current,650638511.54
2018-2022,Peru,Private,current,1126051885.8
2018-2022,Philippines,Bilateral,current,652015313.14
2018-2022,Philippines,China,current,31738820.92
2018-2022,Philippines,Multilateral,current,1042271085.06
2018-2022,Philippines,Private,current,4297906132.6
2018-2022,Rwanda,Bilateral,current,17690816.3
2018-2022,Rwanda,China,current,11431489.86
2018-2022,Rwanda,Multilateral,current,56090209.22
2018-2022,Rwanda,Private,current,96457200.0
2018-2022,Samoa,Bilateral,current,1430124.34
2018-2022,Samoa,China,current,10677970.42
2018-2022,Samoa,Multilateral,current,12846596.6
2018-2022,Sao Tome and Principe,Bilateral,current,1422228.94
2018-2022,Sao Tome and Principe,Multilateral,current,3410284.34
2018-2022,Senegal,Bilateral,current,155381585.56
2018-2022,Senegal,China,current,110907748.72
2018-2022,Senegal,Multilateral,current,223905420.94
2018-2022,Senegal,Private,current,439472372.54
2018-2022,Serbia,Bilateral,current,537172636.06
2018-2022,Serbia,China,current,121337644.34
2018-2022,Serbia,Multilateral,current,695202606.28
2018-2022,Serbia,Private,current,1173182891.14
2018-2022,Sierra Leone,Bilateral,current,8969964.0
2018-2022,Sierra Leone,China,current,2685405.78
2018-2022,Sierra Leone,Multilateral,current,35458214.06
2018-2022,Sierra Leone,Private,current,5702000.0
2018-2022,Solomon Islands,Bilateral,current,1393283.36
2018-2022,Solomon Islands,Multilateral,current,4813402.94
2018-2022,Somalia,Multilateral,current,102575247.06
2018-2022,South Africa,Bilateral,current,61950569.12
2018-2022,South Africa,China,current,72870200.0
2018-2022,South Africa,Multilateral,current,637758381.14
2018-2022,South Africa,Private,current,11127407585.68
2018-2022,Sri Lanka,Bilateral,current,469273225.46
2018-2022,Sri Lanka,China,current,578960683.28
2018-2022,Sri Lanka,Multilateral,current,573877263.02
2018-2022,Sri Lanka,Private,current,2361269283.62
2018-2022,St. Lucia,Bilateral,current,5528992.56
2018-2022,St. Lucia,Multilateral,current,20891728.92
2018-2022,St. Lucia,Private,current,18512785.18
2018-2022,St. Vincent and the Grenadines,Bilateral,current,6261367.08
2018-2022,St. Vincent and the Grenadines,Multilateral,current,26858931.2
2018-2022,St. Vincent and the Grenadines,Private,current,4898688.84
2018-2022,Sudan,Bilateral,current,28154820.24
2018-2022,Sudan,China,current,91571002.0
2018-2022,Sudan,Multilateral,current,357364450.18
2018-2022,Suriname,Bilateral,current,4806455.3
2018-2022,Suriname,China,current,17376626.42
2018-2022,Suriname,Multilateral,current,70725386.42
2018-2022,Suriname,Private,current,35543856.3
2018-2022,Syria,Bilateral,current,2613511.08
2018-2022,Syria,Multilateral,current,1008673.08
2018-2022,Syria,Private,current,465924.42
2018-2022,Tajikistan,Bilateral,current,11926725.12
2018-2022,Tajikistan,China,current,81443853.54
2018-2022,Tajikistan,Multilateral,current,82679988.3
2018-2022,Tajikistan,Private,current,35544604.5
2018-2022,Tanzania,Bilateral,current,99500733.06
2018-2022,Tanzania,China,current,269056083.66
2018-2022,Tanzania,Multilateral,current,233672699.76
2018-2022,Tanzania,Private,current,668623541.56
2018-2022,Thailand,Bilateral,current,546806271.8
2018-2022,Thailand,Multilateral,current,134097000.0
2018-2022,Thailand,Private,current,2101562447.56
2018-2022,Timor-Leste,Bilateral,current,72014.56
2018-2022,Timor-Leste,Multilateral,current,8401600.0
2018-2022,Togo,Bilateral,current,9727723.36
2018-2022,Togo,China,current,31091634.24
2018-2022,Togo,Multilateral,current,50616866.92
2018-2022,Togo,Private,current,17743728.64
2018-2022,Tonga,China,current,3895646.18
2018-2022,Tonga,Multilateral,current,3398604.4
2018-2022,Tunisia,Bilateral,current,537325322.54
2018-2022,Tunisia,China,current,8939972.34
2018-2022,Tunisia,Multilateral,current,1079254295.86
2018-2022,Tunisia,Private,current,999817636.74
2018-2022,Turkmenistan,Bilateral,current,824725703.84
2018-2022,Turkmenistan,China,current,764811158.86
2018-2022,Turkmenistan,Multilateral,current,45664419.72
2018-2022,Turkmenistan,Private,current,116166495.82
2018-2022,Türkiye,Bilateral,current,1349401707.8
2018-2022,Türkiye,China,current,363103729.76
2018-2022,Türkiye,Multilateral,current,2851888014.2
2018-2022,Türkiye,Private,current,14702168249.28
2018-2022,Uganda,Bilateral,current,52229250.2
2018-2022,Uganda,China,current,152125188.54
2018-2022,Uganda,Multilateral,current,208524845.8
2018-2022,Uganda,Private,current,28507310.02
2018-2022,Upper middle income,Bilateral,current,13569040170.24
2018-2022,Upper middle income,China,current,7472541051.82
2018-2022,Upper middle income,Multilateral,current,26637413436.66
2018-2022,Upper middle income,Private,current,148086435902.34
2018-2022,Uzbekistan,Bilateral,current,129830855.2
2018-2022,Uzbekistan,China,current,190533084.54
2018-2022,Uzbekistan,Multilateral,current,400157271.4
2018-2022,Uzbekistan,Private,current,156091323.32
2018-2022,Vanuatu,Bilateral,current,444198.4
2018-2022,Vanuatu,China,current,12864353.64
2018-2022,Vanuatu,Multilateral,current,4146200.0
2018-2022,Vietnam,Bilateral,current,1503597239.58
2018-2022,Vietnam,China,current,443415392.98
2018-2022,Vietnam,Multilateral,current,1304374956.98
2018-2022,Vietnam,Private,current,1268520632.24
2018-2022,Yemen,China,current,70400.0
2018-2022,Yemen,Multilateral,current,86562600.0
2018-2022,Zambia,Bilateral,current,46875378.82
2018-2022,Zambia,China,current,200822907.04
2018-2022,Zambia,Multilateral,current,81527894.66
2018-2022,Zambia,Private,current,339543984.9
2018-2022,Zimbabwe,Bilateral,current,5763174.66
2018-2022,Zimbabwe,China,current,37894195.44
2018-2022,Zimbabwe,Multilateral,current,20804450.26
2018-2022,Zimbabwe,Private,current,5683600.0
2024-2025 (projected),Afghanistan,Bilateral,current,66101685.9
2024-2025 (projected),Afghanistan,Multilateral,current,60443312.45
2024-2025 (projected),Africa,Bilateral,current,10756298439.5
2024-2025 (projected),Africa,China,current,17498404367.75
2024-2025 (projected),Africa,Multilateral,current,24020567643.2
2024-2025 (projected),Africa,Private,current,43286025975.45
2024-2025 (projected),Albania,Bilateral,current,120861586.6
2024-2025 (projected),Albania,Multilateral,current,367959474.7
2024-2025 (projected),Albania,Private,current,513027880.05
2024-2025 (projected),Algeria,Bilateral,current,20875480.5
2024-2025 (projected),Algeria,Multilateral,current,72036359.25
2024-2025 (projected),Angola,Bilateral,current,274426011.75
2024-2025 (projected),Angola,China,current,6438921524.55
2024-2025 (projected),Angola,Multilateral,current,568925992.7
2024-2025 (projected),Angola,Private,current,5300455502.4
2024-2025 (projected),Argentina,Bilateral,current,426011358.25
2024-2025 (projected),Argentina,China,current,10871899555.6
2024-2025 (projected),Argentina,Multilateral,current,4899958368.45
2024-2025 (projected),Argentina,Private,current,2156404852.35
2024-2025 (projected),Armenia,Bilateral,current,173540677.1
2024-2025 (projected),Armenia,China,current,1762374.1
2024-2025 (projected),Armenia,Multilateral,current,349685973.05
2024-2025 (projected),Armenia,Private,current,225548901.6
2024-2025 (projected),Azerbaijan,Bilateral,current,89686052.65
2024-2025 (projected),Azerbaijan,Multilateral,current,982813622.35
2024-2025 (projected),Azerbaijan,Private,current,1443909168.8
2024-2025 (projected),Bangladesh,Bilateral,current,1705401871.55
2024-2025 (projected),Bangladesh,China,current,674364813.05
2024-2025 (projected),Bangladesh,Multilateral,current,3240740859.4
2024-2025 (projected),Bangladesh,Private,current,1076629472.7
2024-2025 (projected),Belarus,Bilateral,current,1578520297.75
2024-2025 (projected),Belarus,China,current,1058012668.3
2024-2025 (projected),Belarus,Multilateral,current,656214925.2
2024-2025 (projected),Belarus,Private,current,288504020.5
2024-2025 (projected),Belize,Bilateral,current,65430551.5
2024-2025 (projected),Belize,Multilateral,current,68975590.8
2024-2025 (projected),Belize,Private,current,22525624.2
2024-2025 (projected),Benin,Bilateral,current,117096111.05
2024-2025 (projected),Benin,China,current,73383758.4
2024-2025 (projected),Benin,Multilateral,current,263293100.0
2024-2025 (projected),Benin,Private,current,505294991.9
2024-2025 (projected),Bhutan,Bilateral,current,312963445.95
2024-2025 (projected),Bhutan,Multilateral,current,48207421.3
2024-2025 (projected),Bhutan,Private,current,3397875.0
2024-2025 (projected),Bolivia,Bilateral,current,59392111.35
2024-2025 (projected),Bolivia,China,current,110134816.9
2024-2025 (projected),Bolivia,Multilateral,current,1041147223.2
2024-2025 (projected),Bolivia,Private,current,117596934.5
2024-2025 (projected),Bosnia and Herzegovina,Bilateral,current,134863273.6
2024-2025 (projected),Bosnia and Herzegovina,Multilateral,current,529926683.55
2024-2025 (projected),Bosnia and Herzegovina,Private,current,35718261.9
2024-2025 (projected),Botswana,Bilateral,current,2350489.1
2024-2025 (projected),Botswana,Multilateral,current,246688332.65
2024-2025 (projected),Brazil,Bilateral,current,646754793.75
2024-2025 (projected),Brazil,China,current,858700333.3
2024-2025 (projected),Brazil,Multilateral,current,4867208269.95
2024-2025 (projected),Brazil,Private,current,19786270269.85
2024-2025 (projected),Burkina Faso,Bilateral,current,53569602.2
2024-2025 (projected),Burkina Faso,China,current,14178664.5
2024-2025 (projected),Burkina Faso,Multilateral,current,289023734.8
2024-2025 (projected),Burkina Faso,Private,current,53303070.9
2024-2025 (projected),Burundi,Bilateral,current,24825361.15
2024-2025 (projected),Burundi,China,current,4702312.65
2024-2025 (projected),Burundi,Multilateral,current,36382424.65
2024-2025 (projected),Cabo Verde,Bilateral,current,44001528.25
2024-2025 (projected),Cabo Verde,China,current,4674799.9
2024-2025 (projected),Cabo Verde,Multilateral,current,62668000.7
2024-2025 (projected),Cabo Verde,Private,current,48302426.9
2024-2025 (projected),Cambodia,Bilateral,current,309724507.2
2024-2025 (projected),Cambodia,China,current,339214479.15
2024-2025 (projected),Cambodia,Multilateral,current,193770434.55
2024-2025 (projected),Cameroon,Bilateral,current,195198777.1
2024-2025 (projected),Cameroon,China,current,667418706.7
2024-2025 (projected),Cameroon,Multilateral,current,568665118.25
2024-2025 (projected),Cameroon,Private,current,292334178.5
2024-2025 (projected),Central African Republic,Bilateral,current,14388897.3
2024-2025 (projected),Central African Republic,China,current,2544820.0
2024-2025 (projected),Central African Republic,Multilateral,current,7763052.65
2024-2025 (projected),Central African Republic,Private,current,23000.0
2024-2025 (projected),Chad,Bilateral,current,100643140.5
2024-2025 (projected),Chad,China,current,50368008.0
2024-2025 (projected),Chad,Multilateral,current,164856468.85
2024-2025 (projected),Chad,Private,current,76653714.3
2024-2025 (projected),Colombia,Bilateral,current,742507154.5
2024-2025 (projected),Colombia,Multilateral,current,3456011737.4
2024-2025 (projected),Colombia,Private,current,6239080177.9
2024-2025 (projected),Comoros,Bilateral,current,3177420.3
2024-2025 (projected),Comoros,China,current,6475446.55
2024-2025 (projected),Comoros,Multilateral,current,13483134.45
2024-2025 (projected),Comoros,Private,current,15969696.8
2024-2025 (projected),Congo Republic,Bilateral,current,141664543.2
2024-2025 (projected),Congo Republic,China,current,325757722.65
2024-2025 (projected),Congo Republic,Multilateral,current,125585540.45
2024-2025 (projected),Congo Republic,Private,current,264747778.9
2024-2025 (projected),Costa Rica,Bilateral,current,33332985.9
2024-2025 (projected),Costa Rica,China,current,10641467.15
2024-2025 (projected),Costa Rica,Multilateral,current,1168878681.05
2024-2025 (projected),Costa Rica,Private,current,735415000.0
2024-2025 (projected),Cote d'Ivoire,Bilateral,current,444909421.85
2024-2025 (projected),Cote d'Ivoire,China,current,428047683.25
2024-2025 (projected),Cote d'Ivoire,Multilateral,current,594788204.3
2024-2025 (projected),Cote d'Ivoire,Private,current,2279396465.5
2024-2025 (projected),DR Congo,Bilateral,current,55547693.8
2024-2025 (projected),DR Congo,China,current,463930321.6
2024-2025 (projected),DR Congo,Multilateral,current,159598626.75
2024-2025 (projected),DR Congo,Private,current,14722000.0
2024-2025 (projected),Developing countries,Bilateral,current,41464909324.25
2024-2025 (projected),Developing countries,China,current,45465562803.4
2024-2025 (projected),Developing countries,Multilateral,current,101199335245.05
2024-2025 (projected),Developing countries,Private,current,198655659023.7
2024-2025 (projected),Djibouti,Bilateral,current,50106796.65
2024-2025 (projected),Djibouti,China,current,98965468.75
2024-2025 (projected),Djibouti,Multilateral,current,97279554.6
2024-2025 (projected),Dominica,Bilateral,current,6666692.1
2024-2025 (projected),Dominica,China,current,3439063.4
2024-2025 (projected),Dominica,Multilateral,current,15080164.45
2024-2025 (projected),Dominica,Private,current,11638172.7
2024-2025 (projected),Dominican Republic,Bilateral,current,224812678.75
2024-2025 (projected),Dominican Republic,China,current,181333.3
2024-2025 (projected),Dominican Republic,Multilateral,current,1006396723.2
2024-2025 (projected),Dominican Republic,Private,current,2764502839.55
2024-2025 (projected),Ecuador,Bilateral,current,125564548.4
2024-2025 (projected),Ecuador,China,current,1162138218.45
2024-2025 (projected),Ecuador,Multilateral,current,2109035336.35
2024-2025 (projected),Ecuador,Private,current,807222195.2
2024-2025 (projected),Egypt,Bilateral,current,1895262237.95
2024-2025 (projected),Egypt,China,current,1191123180.15
2024-2025 (projected),Egypt,Multilateral,current,5681688193.25
2024-2025 (projected),Egypt,Private,current,8281779226.85
2024-2025 (projected),El Salvador,Bilateral,current,47991155.05
2024-2025 (projected),El Salvador,China,current,50500.0
2024-2025 (projected),El Salvador,Multilateral,current,887835226.7
2024-2025 (projected),El Salvador,Private,current,686747541.35
2024-2025 (projected),Eritrea,Bilateral,current,10254735.55
2024-2025 (projected),Eritrea,China,current,2670772.45
2024-2025 (projected),Eritrea,Multilateral,current,25696495.05
2024-2025 (projected),Eswatini,Bilateral,current,10456084.95
2024-2025 (projected),Eswatini,China,current,22122470.45
2024-2025 (projected),Eswatini,Multilateral,current,69561195.0
2024-2025 (projected),Eswatini,Private,current,1093344.1
2024-2025 (projected),Ethiopia,Bilateral,current,2351064575.3
2024-2025 (projected),Ethiopia,China,current,2090381961.7
2024-2025 (projected),Ethiopia,Multilateral,current,596621189.65
2024-2025 (projected),Ethiopia,Private,current,1325192397.05
2024-2025 (projected),Fiji,Bilateral,current,11258280.95
2024-2025 (projected),Fiji,China,current,23933030.5
2024-2025 (projected),Fiji,Multilateral,current,120382568.55
2024-2025 (projected),Gabon,Bilateral,current,111418204.2
2024-2025 (projected),Gabon,China,current,179026361.4
2024-2025 (projected),Gabon,Multilateral,current,265956384.4
2024-2025 (projected),Gabon,Private,current,279663568.05
2024-2025 (projected),Gambia,Bilateral,current,32195921.7
2024-2025 (projected),Gambia,China,current,12412019.15
2024-2025 (projected),Gambia,Multilateral,current,59807386.4
2024-2025 (projected),Gambia,Private,current,2000680.9
2024-2025 (projected),Georgia,Bilateral,current,171133240.95
2024-2025 (projected),Georgia,Multilateral,current,570576343.25
2024-2025 (projected),Georgia,Private,current,145557016.7
2024-2025 (projected),Ghana,Bilateral,current,253150656.75
2024-2025 (projected),Ghana,China,current,458827465.4
2024-2025 (projected),Ghana,Multilateral,current,517157800.25
2024-2025 (projected),Ghana,Private,current,2198018238.4
2024-2025 (projected),Grenada,Bilateral,current,10518060.1
2024-2025 (projected),Grenada,China,current,5572974.85
2024-2025 (projected),Grenada,Multilateral,current,24647654.4
2024-2025 (projected),Grenada,Private,current,15469091.1
2024-2025 (projected),Guatemala,Bilateral,current,30420527.8
2024-2025 (projected),Guatemala,China,current,2630444.4
2024-2025 (projected),Guatemala,Multilateral,current,684301130.7
2024-2025 (projected),Guatemala,Private,current,386615447.1
2024-2025 (projected),Guinea,Bilateral,current,83178410.2
2024-2025 (projected),Guinea,China,current,368823656.5
2024-2025 (projected),Guinea,Multilateral,current,157380587.75
2024-2025 (projected),Guinea,Private,current,8929432.0
2024-2025 (projected),Guinea-Bissau,Bilateral,current,10782928.75
2024-2025 (projected),Guinea-Bissau,Multilateral,current,41934320.15
2024-2025 (projected),Guinea-Bissau,Private,current,22342000.0
2024-2025 (projected),Guyana,Bilateral,current,33596785.1
2024-2025 (projected),Guyana,China,current,37856148.4
2024-2025 (projected),Guyana,Multilateral,current,98182593.1
2024-2025 (projected),Guyana,Private,current,2118777.8
2024-2025 (projected),Haiti,Bilateral,current,155436372.6
2024-2025 (projected),Haiti,Multilateral,current,9270685.95
2024-2025 (projected),Haiti,Private,current,4293000.0
2024-2025 (projected),Honduras,Bilateral,current,91866666.7
2024-2025 (projected),Honduras,China,current,75558700.0
2024-2025 (projected),Honduras,Multilateral,current,745858975.85
2024-2025 (projected),Honduras,Private,current,132986058.1
2024-2025 (projected),India,Bilateral,current,3241925588.8
2024-2025 (projected),India,Multilateral,current,10497462023.05
2024-2025 (projected),India,Private,current,18997899548.4
2024-2025 (projected),Indonesia,Bilateral,current,2065991109.6
2024-2025 (projected),Indonesia,China,current,259941154.9
2024-2025 (projected),Indonesia,Multilateral,current,5379777717.8
2024-2025 (projected),Indonesia,Private,current,24970005005.65
2024-2025 (projected),Iran,Bilateral,current,21323585.6
2024-2025 (projected),Iran,Multilateral,current,21902197.2
2024-2025 (projected),Iran,Private,current,10772384.9
2024-2025 (projected),Iraq,Bilateral,current,1469394284.45
2024-2025 (projected),Iraq,China,current,155670250.0
2024-2025 (projected),Iraq,Multilateral,current,642244310.4
2024-2025 (projected),Iraq,Private,current,781463142.25
2024-2025 (projected),Jamaica,Bilateral,current,3621751.15
2024-2025 (projected),Jamaica,China,current,122168262.85
2024-2025 (projected),Jamaica,Multilateral,current,371407535.7
2024-2025 (projected),Jamaica,Private,current,555214965.0
2024-2025 (projected),Jordan,Bilateral,current,354672424.0
2024-2025 (projected),Jordan,China,current,4953055.4
2024-2025 (projected),Jordan,Multilateral,current,755997923.6
2024-2025 (projected),Jordan,Private,current,1472080083.45
2024-2025 (projected),Kazakhstan,Bilateral,current,29464332.95
2024-2025 (projected),Kazakhstan,China,current,218814865.15
2024-2025 (projected),Kazakhstan,Multilateral,current,1235431890.25
2024-2025 (projected),Kazakhstan,Private,current,2648305070.4
2024-2025 (projected),Kenya,Bilateral,current,340783179.85
2024-2025 (projected),Kenya,China,current,1189313694.05
2024-2025 (projected),Kenya,Multilateral,current,1750197582.7
2024-2025 (projected),Kenya,Private,current,1766962470.65
2024-2025 (projected),Kosovo,Bilateral,current,4406745.2
2024-2025 (projected),Kosovo,Multilateral,current,85149367.7
2024-2025 (projected),Kosovo,Private,current,3723596.1
2024-2025 (projected),Kyrgyz Republic,Bilateral,current,36883364.2
2024-2025 (projected),Kyrgyz Republic,China,current,168010825.1
2024-2025 (projected),Kyrgyz Republic,Multilateral,current,169814362.1
